A,B,C,D,E,F,G,H,I,J
0.498779228,0.505212436,0.532696298,0.98921,0.99518,0.99557,0.99546,0.414856783,0.484367323,Maliganant
0.836322659,0.826483807,0.863809662,0.98246,0.99234,0.99258,0.99257,0.718765263,0.808924025,Maliganant
0.448821486,0.430917852,0.444684137,0.99108,0.99597,0.99602,0.99612,0.359871056,0.406940908,Maliganant
0.919569913,0.917249687,0.938806042,0.98121,0.99164,0.99184,0.99175,0.853353304,0.918107106,Maliganant
0.858625223,0.891535004,0.864630085,0.98176,0.99203,0.99238,0.99198,0.583211227,0.714636652,Maliganant
0.534510283,0.52406987,0.549056513,0.98951,0.99539,0.99526,0.99529,0.493493102,0.525056948,Maliganant
0.337120856,0.338145763,0.28625549,0.98857,0.99635,0.99701,0.99696,0.291361401,0.291314931,Maliganant
0.477650484,0.461437242,0.501278896,0.98771,0.99568,0.99576,0.99585,0.565367458,0.582629863,Maliganant
0.147032585,0.149798452,0.120288596,0.9922,0.99847,0.9987,0.99865,0.088277816,0.10223324,Maliganant
0.975631515,0.953389242,0.955166256,0.9801,0.99138,0.99134,0.99143,0.731312342,0.794039484,Maliganant
0.424044511,0.454612426,0.462704503,0.9895,0.99594,0.99624,0.99591,0.288951841,0.332004556,Maliganant
0.432571133,0.446578326,0.401095507,0.98767,0.99597,0.99616,0.99598,0.337197313,0.362778597,Maliganant
0.478871256,0.515266645,0.457255924,0.98831,0.99606,0.99575,0.99537,0.296191376,0.345906472,Maliganant
0.69983097,0.714451188,0.725930216,0.9865,0.99392,0.99379,0.99358,0.84322664,0.852606191,Maliganant
0.588130341,0.591576704,0.580473915,0.98858,0.99521,0.99478,0.99468,0.699467075,0.707691277,Maliganant
0.577143394,0.591901033,0.563341538,0.98776,0.99516,0.99488,0.99468,0.254707868,0.316126223,Maliganant
0.354995774,0.353407775,0.358346605,0.99206,0.997,0.99685,0.99682,0.273040062,0.30024789,Maliganant
0.810310827,0.816846592,0.810144298,0.98359,0.99287,0.99281,0.99265,0.589484767,0.711163964,Maliganant
0.489013053,0.496362878,0.501664978,0.99034,0.99578,0.99566,0.99554,0.357939066,0.421334137,Maliganant
0.491454597,0.505212436,0.488248637,0.98834,0.99579,0.99564,0.99546,0.345391988,0.395529054,Maliganant
0.636491689,0.634110179,0.643743063,0.98653,0.99423,0.99435,0.9943,0.518576406,0.561782572,Maliganant
0.216081322,0.224093036,0.211234979,0.99269,0.99831,0.99808,0.99798,0.168354444,0.189579704,Maliganant
0.268072119,0.279511653,0.257337966,0.98907,0.99727,0.99762,0.99749,0.170764004,0.181640538,Maliganant
0.607615739,0.60760784,0.632015829,0.98579,0.99427,0.99461,0.99454,0.553786374,0.5960293,Maliganant
0.44719692,0.447379882,0.466898316,0.99065,0.99591,0.99603,0.99598,0.326582224,0.399504221,Maliganant
0.457756597,0.465041931,0.469412673,0.98784,0.99564,0.99594,0.99582,0.291361401,0.348385368,Maliganant
0.52070617,0.51165269,0.535640172,0.98915,0.99538,0.99538,0.9954,0.505551757,0.539450176,Maliganant
0.671001972,0.700366029,0.679793446,0.98373,0.99334,0.99405,0.9937,0.393637459,0.494785386,Maliganant
0.641046108,0.698095723,0.696298441,0.9844,0.99457,0.99431,0.99372,0.236853245,0.292308723,Maliganant
0.53004977,0.523282213,0.552000386,0.98957,0.99538,0.9953,0.99529,0.416311202,0.489827594,Maliganant
0.515823082,0.512857341,0.527677236,0.98984,0.99564,0.99542,0.99539,0.345880412,0.409922283,Maliganant
0.519109776,0.504424779,0.525167704,0.99038,0.99564,0.99539,0.99546,0.419198333,0.479398365,Maliganant
0.852943938,0.857804754,0.8809903,0.98252,0.99231,0.99243,0.99229,0.714912138,0.811414087,Maliganant
0.742464081,0.733308623,0.745620385,0.98533,0.9937,0.99341,0.99341,0.668598656,0.721582027,Maliganant
