A,B,C,D,E,F,G,H,I,J,K
0.01705151,0.086139667,0.1436505,0.028482112,0.040308447,0.994272014,0.01705151,0.1436505,0.028482112,0.040308447,Maliganant
0.03374778,0.097837646,0.159570529,0.047585967,0.065194532,0.993637212,0.03374778,0.15957053,0.047585967,0.065194532,Maliganant
0.045825932,0.096419709,0.148463532,0.109760333,0.157378198,0.994080097,0.045825932,0.148463532,0.109760333,0.157378198,Maliganant
0.038010657,0.096419709,0.156978897,0.048975339,0.057132843,0.993740552,0.038010657,0.156978897,0.048975339,0.057132843,Maliganant
0.037655417,0.131159163,0.17215846,0.072594651,0.087627059,0.993135275,0.037655417,0.17215846,0.072594651,0.087627059,Maliganant
0.044049734,0.083658277,0.111440207,0.117749219,0.178058184,0.995556382,0.044049734,0.111440207,0.117749218,0.178058184,Maliganant
0.277087034,0.483870968,0.565716401,0.470996874,0.549246407,0.977442366,0.277087034,0.565716402,0.470996874,0.549246407,Maliganant
0.278203102,0.370200164,0.446635115,0.30158214,0.325643267,0.982190667,0.274955595,0.441318031,0.298020146,0.321766562,Maliganant
0.235168739,0.419354839,0.489448352,0.424800278,0.501577287,0.980483513,0.235168739,0.489448353,0.424800278,0.501577287,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.038721137,0.093229351,0.151425398,0.050712053,0.054679285,0.993961995,0.038721137,0.151425398,0.050712053,0.054679285,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.115097691,0.196738745,0.247686042,0.211184439,0.274097441,0.990123654,0.115097691,0.247686042,0.211184439,0.274097441,Maliganant
0.038721137,0.053527118,0.062939652,0.104202848,0.149667017,0.997490316,0.038721137,0.062939652,0.104202848,0.149667017,Maliganant
0.221314387,0.290322581,0.335801555,0.234109066,0.222222222,0.986610095,0.221314387,0.335801555,0.234109066,0.222222222,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.330728242,0.476426799,0.520177712,0.48280653,0.512793551,0.979258196,0.330728242,0.520177712,0.48280653,0.512793551,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.045470693,0.059907834,0.086264347,0.096561306,0.155625657,0.996560256,0.045470693,0.086264347,0.096561306,0.155625657,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.036944938,0.091102446,0.145131433,0.03681834,0.03189625,0.994212963,0.036944938,0.145131433,0.03681834,0.03189625,Maliganant
0.114387211,0.181850408,0.22806368,0.17818687,0.196985629,0.990906085,0.114387211,0.22806368,0.17818687,0.196985629,Maliganant
0.171936057,0.290677065,0.328767123,0.342132685,0.362425517,0.98689059,0.171936057,0.328767123,0.342132685,0.362425517,Maliganant
0.324689165,0.563275434,0.674194743,0.488016673,0.563967753,0.973116851,0.324689165,0.674194743,0.488016672,0.563967753,Maliganant
0.056838366,0.131513648,0.160681229,0.077804793,0.093585699,0.993592923,0.056838366,0.160681229,0.077804793,0.093585699,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.030905861,0.046437434,0.061088486,0.097255992,0.152821591,0.99756413,0.030905861,0.061088486,0.097255992,0.152821591,Maliganant
0.201776199,0.362637363,0.442798963,0.292115318,0.321065545,0.982343632,0.201776199,0.442798964,0.292115318,0.321065545,Maliganant
0.084547069,0.165898617,0.238800444,0.074331365,0.069050123,0.990477962,0.084547069,0.238800444,0.074331365,0.069050123,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
