U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,CR,CS,CT,CU,CV,CW,CX,CY,CZ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR,DS,DT,DU,DV,DW,DX,DY,DZ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,EK,65535,65278,65021,64764,65536,65025,64516,64009,63504,65792,65535,65278,65021,64764,65536,65025,64516,64009,63504,0.164153696,0.312428473,0.468764362,0.619415266,0.771261812,0.291824341,0.574394464,0.847464195,1.114296427,1.374716553,0.157313959,0.291828794,0.40672202,0.532904754,0.663563091,0.137329102,0.207612457,0.285975572,0.347997938,0.407454649,0.116115075,0.091983352,0.091983352,0.091983352,0.091983352,0.091983352,0.091983352,0.091983352,0.091983352,0.091983352,0.116115075,0.116115075,0.116115075,0.091983352,0.091983352,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.969098648,0.968991058,0.968853793,0.968717874,0.968582537,0.968993913,0.96872399,0.968457682,0.968194173,0.967933039,0.969040546,0.968904544,0.968830577,0.968726129,0.968591672,0.96969321,0.970404948,0.971069148,0.971808804,0.97256276,0.999316026,0.998698215,0.998046815,0.997419103,0.996786409,0.998784065,0.99760669,0.996468899,0.995357098,0.994272014,0.999344525,0.998784047,0.998305325,0.997779564,0.997235154,0.999427795,0.999134948,0.998808435,0.998550009,0.998302272,0.014900208,0.011309981,0.011309981,0.011309981,0.011309981,0.011309981,0.011309981,0.011309981,0.011309981,0.011309981,0.014900208,0.014900208,0.014900208,0.011309981,0.011309981,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.213333333,0.404444444,0.604444444,0.795555556,0.986666667,0.377777778,0.737777778,1.08,1.408888889,1.724444444,0.204444444,0.377777778,0.524444444,0.684444444,0.848888889,0.177777778,0.266666667,0.364444444,0.44,0.511111111
65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,65792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.324887524,0.377660792,0.434296394,0.484458867,0.555864369,0.43258667,0.671280277,0.962551925,1.244356262,1.527069161,0.294108706,0.494392309,0.706593339,0.899709325,1.097832129,0.339889526,0.366782007,0.477788456,0.534299864,0.659013605,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.091983352,0.091983352,0.116115075,0.116115075,0.116115075,0.116115075,0.091983352,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.97034729,0.970434632,0.970492912,0.970582698,0.970581398,0.970756078,0.970868111,0.970712776,0.970501791,0.970263458,0.971089693,0.971076802,0.971006627,0.97094074,0.970846904,0.971180654,0.972271707,0.972982031,0.973863878,0.974449392,0.998646302,0.998426413,0.998190432,0.997981421,0.997683898,0.998197556,0.997202999,0.995989367,0.994815182,0.993637212,0.998774547,0.997940032,0.997055861,0.996251211,0.995425699,0.998583794,0.998471742,0.998009215,0.997773751,0.99725411,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.011309981,0.011309981,0.014900208,0.014900208,0.014900208,0.014900208,0.011309981,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.422222222,0.488888889,0.56,0.622222222,0.711111111,0.56,0.862222222,1.226666667,1.573333333,1.915555556,0.382222222,0.64,0.911111111,1.155555556,1.404444444,0.44,0.471111111,0.608888889,0.675555556,0.826666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.441163059,0.666056306,0.903060756,1.166161702,1.403557532,0.466918945,0.667820069,0.948601897,1.191629302,1.420776644,0.341986868,0.559624628,0.706593339,0.816659233,0.965814341,0.501251221,0.799307958,1.102052204,1.360355575,1.590844671,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.968210295,0.968361404,0.968428404,0.968319344,0.968276229,0.968677035,0.969520625,0.969955725,0.970438781,0.970936754,0.968133029,0.967777329,0.967725837,0.967798306,0.967718767,0.968525333,0.968941053,0.969282139,0.969701036,0.970196593,0.998161821,0.997224765,0.996237247,0.995140993,0.994151844,0.998054504,0.997217416,0.996047492,0.995034878,0.994080097,0.998575055,0.997668231,0.997055861,0.996597253,0.995975774,0.997911453,0.99666955,0.995408116,0.994331852,0.993371481,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.573333333,0.862222222,1.164444444,1.497777778,1.795555556,0.604444444,0.857777778,1.208888889,1.506666667,1.782222222,0.444444444,0.724444444,0.911111111,1.048888889,1.235555556,0.648888889,1.026666667,1.404444444,1.72,1.995555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.365925948,0.518425269,0.679018965,0.802817551,0.958866037,0.425720215,0.647058824,0.948601897,1.216235217,1.502267574,0.253070282,0.370794232,0.461870768,0.553667277,0.642718177,0.339889526,0.425605536,0.491738483,0.527269603,0.577522676,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.091983352,0.091983352,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.968425157,0.968434637,0.96844569,0.968582121,0.968568552,0.96856366,0.96865717,0.968389699,0.968249781,0.967990494,0.968615704,0.968510106,0.968496987,0.968514458,0.96853323,0.968957698,0.969692845,0.970534911,0.971517566,0.972424935,0.998475309,0.997839895,0.997170754,0.996654927,0.996004725,0.998226166,0.997303922,0.996047492,0.994932353,0.993740552,0.99894554,0.998455024,0.998075538,0.997693053,0.997322008,0.998583794,0.998226644,0.99795109,0.997803043,0.997593656,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.011309981,0.011309981,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.475555556,0.671111111,0.875555556,1.031111111,1.226666667,0.551111111,0.831111111,1.208888889,1.537777778,1.884444444,0.328888889,0.48,0.595555556,0.711111111,0.822222222,0.44,0.546666667,0.626666667,0.666666667,0.724444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36250608,0.580224308,0.758295291,0.903169745,1.014452474,0.597381592,1.017301038,1.290377581,1.504475933,1.647534014,0.441163059,0.731288624,0.961656301,1.096953292,1.209005003,0.401687622,0.595155709,0.728888958,0.808480057,0.885770975,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.96874963,0.96824941,0.967930294,0.967763062,0.967748942,0.968485371,0.967726123,0.967549081,0.967653456,0.967982814,0.968740654,0.968115825,0.967704201,0.967748638,0.967826711,0.969365051,0.969644867,0.970149746,0.970944175,0.971692629,0.998489558,0.997582399,0.996840436,0.996236793,0.995773115,0.99751091,0.995761246,0.994623427,0.99373135,0.993135275,0.998161821,0.996952964,0.995993099,0.995429361,0.994962479,0.998326302,0.997520185,0.996962963,0.996631333,0.996309288,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.471111111,0.751111111,0.977777778,1.16,1.297777778,0.773333333,1.306666667,1.644444444,1.902222222,2.066666667,0.573333333,0.946666667,1.24,1.408888889,1.546666667,0.52,0.764444444,0.928888889,1.022222222,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.424063716,0.655756466,0.892720365,1.124636656,1.3549194,0.456619263,0.6816609,0.823051646,0.931509631,1.066468254,0.427483585,0.617990387,0.72727412,0.837421756,0.899805447,0.576782227,0.882352941,1.182264865,1.500960802,1.799886621,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.967740834,0.967799586,0.967744006,0.967723052,0.967676381,0.967878783,0.968263041,0.968937933,0.969782606,0.970458608,0.966885702,0.96632171,0.96612013,0.965917696,0.965898798,0.967333416,0.967321565,0.967228667,0.967050639,0.966878999,0.998233068,0.997267681,0.996280332,0.995314014,0.994354503,0.99809742,0.997159746,0.996570618,0.99611871,0.995556382,0.998218818,0.99742504,0.996969691,0.996510743,0.996250811,0.997596741,0.996323529,0.995073896,0.993745997,0.992500472,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.551111111,0.848888889,1.151111111,1.444444444,1.733333333,0.591111111,0.875555556,1.048888889,1.177777778,1.337777778,0.555555556,0.8,0.937777778,1.075555556,1.151111111,0.746666667,1.133333333,1.506666667,1.897777778,2.257777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.667497568,3.385214008,3.881093171,4.218252565,4.554613674,3.113937378,4.065743945,4.760447021,5.226999328,5.4138322,2.937667194,3.834973678,4.449814639,4.886113717,5.214702613,3.220367432,4.093425606,4.729059458,5.177787499,5.552012472,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.95472982,0.951761776,0.949766136,0.948444942,0.947147556,0.953183844,0.949605583,0.94704571,0.945478463,0.945185969,0.953808721,0.950314092,0.947940133,0.946356711,0.945299439,0.952709451,0.949427735,0.947044735,0.945445834,0.944221433,0.988885427,0.985894942,0.983828778,0.982423948,0.981022443,0.987025261,0.9830594,0.980164804,0.978220836,0.977442366,0.98775972,0.984020943,0.981459106,0.979641193,0.978272072,0.986581802,0.98294406,0.980295586,0.978425885,0.976866615,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,3.466666667,4.382222222,5.004444444,5.417777778,5.826666667,4.031111111,5.222222222,6.066666667,6.608888889,6.791111111,3.817777778,4.964444444,5.737777778,6.275555556,6.671111111,4.168888889,5.257777778,6.026666667,6.546666667,6.964444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.67824188,2.886753126,2.999255999,3.228190844,3.339426322,3.119596097,3.420868347,3.642124416,3.991304348,4.274239816,1.896310423,2.584769316,3.020602415,3.284824903,3.438657353,2.841681077,2.902661064,3.028045299,3.258498024,3.291738382,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.944164496,0.944140717,0.944542743,0.944376605,0.944818493,0.942083299,0.941498433,0.941275621,0.940444855,0.94000777,0.946539107,0.943365492,0.941300617,0.939981734,0.939139604,0.943285751,0.943736847,0.943923953,0.94359683,0.944227607,0.988840659,0.987971862,0.9875031,0.986549205,0.986085724,0.987001683,0.985746382,0.984824482,0.983369565,0.982190667,0.992098707,0.989230128,0.987414157,0.98631323,0.985672261,0.988159662,0.987905579,0.987383145,0.986422925,0.986284423,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,3.44,3.693333333,3.822222222,4.097777778,4.222222222,3.991111111,4.342222222,4.586666667,4.986666667,5.297777778,2.435555556,3.306666667,3.848888889,4.168888889,4.346666667,3.635555556,3.684444444,3.813333333,4.071111111,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.263953064,2.928587778,3.384754435,3.643822765,3.925792107,2.81867981,3.647058824,4.125720751,4.36579231,4.683956916,2.53412269,3.491645686,4.091347774,4.588517556,4.964563646,2.756881714,3.69550173,4.26522103,4.819244169,5.070153061,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.116115075,0.957394965,0.954959436,0.953354152,0.952637086,0.951858065,0.954963197,0.951834732,0.950146871,0.949554138,0.948776957,0.955587869,0.951435895,0.948850027,0.94675979,0.945313269,0.955230886,0.951625824,0.949548643,0.947633785,0.947146157,0.990566862,0.987797551,0.985896857,0.984817405,0.983642533,0.988255501,0.984803922,0.982809497,0.981809199,0.980483513,0.989441155,0.985451476,0.982952718,0.980881177,0.979314318,0.988512993,0.984602076,0.982228246,0.979919816,0.978874362,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,0.014900208,2.942222222,3.791111111,4.364444444,4.68,5.022222222,3.648888889,4.684444444,5.257777778,5.52,5.875555556,3.293333333,4.52,5.275555556,5.893333333,6.351111111,3.568888889,4.746666667,5.435555556,6.093333333,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,0.036874506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0.003860593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
